id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;Nbobs_maille;NBobs_commune
652;51143;Le Chemin;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;0
473;51144;Cheminon;51;44;200068666;epci;6,13204215;4,814551355;7,810061242;0,678560291;1341;31
547;51145;Chenay;51;44;200067213;epci;9,087074431;6,916118683;11,93948882;0,719404505;501;3
404;51146;Cheniers;51;44;200066876;epci;8,081078082;6,543343981;9,98019104;0,685227424;778;1
404;51147;La Cheppe;51;44;200042620;maille;6,892734505;5,576410062;8,519780367;0,685227424;778;1
404;51148;Cheppes-la-Prairie;51;44;200043438;epci;7,541591556;6,104887475;9,316404837;0,685227424;778;1
404;51149;Chepy;51;44;200043438;epci;7,541591556;6,104887475;9,316404837;0,685227424;778;5
527;51150;Cherville;51;44;200066876;maille;7,094628821;5,335643483;9,433493499;0,697167871;747;0
846;51151;Chichey;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;0
878;51152;Chigny-les-Roses;51;44;200067213;epci;9,532566779;7,221875923;12,5825797;0,702642767;1166;22
527;51153;Chouilly;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;14
527;51154;Clamanges;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;13
817;51155;Clesles;51;44;200066835;maille;6,799559219;5,412561474;8,541982534;0,779846742;632;11
404;51156;Cloyes-sur-Marne;51;44;200042992;maille;6,892734505;5,576410062;8,519780367;0,685227424;778;1
527;51157;Coizard-Joches;51;44;200066850;epci;6,8884792;5,178949535;9,162310883;0,697167871;747;2
527;51158;Val-des-Marais;51;44;200067684;epci;7,45353412;5,58816238;9,941581345;0,697167871;747;3
404;51160;Compertrix;51;44;200066876;epci;8,081078082;6,543343981;9,98019104;0,685227424;778;20
404;51161;Condé-sur-Marne;51;44;200066876;epci;8,081078082;6,543343981;9,98019104;0,685227424;778;17
846;51162;Conflans-sur-Seine;51;44;200066835;epci;6,421179883;4,926527867;8,369292167;0,657126384;878;16
699;51163;Congy;51;44;200066850;maille;6,314238631;4,931864513;8,084084505;0,668166975;709;7
846;51164;Connantray-Vaurefroy;51;44;245100979;epci;5,917441422;4,538223962;7,715818627;0,657126384;878;3
846;51165;Connantre;51;44;245100979;epci;5,917441422;4,538223962;7,715818627;0,657126384;878;24
652;51166;Contault;51;44;200042703;epci;5,654844458;4,208306424;7,598606809;0,50122813;541;0
