id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwr.IPm2;upr.IPm2;R2adj;NBobs_maille;NBobs_commune
2391;40188;Momuy;40;75;200069649;maille;8,088657646;6,18876185;10,57180485;0,650862544;554;16
1887;40189;Monget;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
1887;40190;Monségur;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;8
1768;40191;Montaut;40;75;200069649;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;11
4;40192;Mont-de-Marsan;40;75;244000808;commune;9,247848722;7,635134664;11,20120466;0,817378377;5634;5634
1768;40193;Montégut;40;75;244000774;epci;8,30527928;6,621208021;10,41768567;0,692456105;1431;3
1934;40194;Montfort-en-Chalosse;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;90
1768;40195;Montgaillard;40;75;200069649;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;6
1768;40196;Montsoué;40;75;200069649;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;1
1653;40197;Morcenx;40;75;244000691;commune;8,882177389;7,245067581;10,88921177;0,729656802;485;136
1887;40198;Morganx;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;4
1768;40199;Mouscardès;40;75;200069417;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;1
1646;40200;Moustey;40;75;200069656;maille;9,697254369;8,030201923;11,71038328;0,807846709;922;8
1934;40201;Mugron;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;87
1934;40202;Narrosse;40;75;244000675;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;31
1768;40203;Nassiet;40;75;244000881;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1768;40204;Nerbis;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;10
1934;40205;Nousse;40;75;200069631;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;11
1934;40206;Oeyregave;40;75;200069417;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;7
2387;40207;Oeyreluy;40;75;244000675;maille;10,3006143;8,250271872;12,86050406;0,758246582;656;7
1768;40208;Onard;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1289;40209;Ondres;40;75;244000659;commune;11,80408354;10,0412624;13,87638154;0,793761447;551;551
2276;40210;Onesse-Laharie;40;75;244000691;maille;9,383404391;7,722425641;11,40163494;0,771233595;714;7
2387;40211;Orist;40;75;200069417;maille;10,3006143;8,250271872;12,86050406;0,758246582;656;0
1934;40212;Orthevielle;40;75;200069417;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;18
2387;40213;Orx;40;75;244000865;maille;10,3006143;8,250271872;12,86050406;0,758246582;656;8
1768;40214;Ossages;40;75;200069417;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;6
1768;40215;Ousse-Suzan;40;75;244000691;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;0
1768;40216;Ozourt;40;75;200069631;maille;8,451117361;6,737784447;10,60012905;0,692456105;1431;4
1646;40217;Parentis-en-Born;40;75;244000873;commune;10,61307722;8,781922494;12,82605355;0,807846709;922;275
1861;40218;Parleboscq;40;75;200035541;maille;8,553191122;6,869711152;10,64922189;0,628880555;731;1
1887;40219;Payros-Cazautets;40;75;200069649;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;0
2391;40220;Pécorade;40;75;200069649;maille;8,088657646;6,18876185;10,57180485;0,650862544;554;8
